Generic,Real,Float,Double,Complex,ComplexFloat,ComplexDouble,Miscellaneous
larrr,larrr,slarrr.f,dlarrr.f,,,,
larrv,larrv,slarrv.f,dlarrv.f,larrv,clarrv.f,zlarrv.f,
lartg,lartg,slartg.f,dlartg.f,lartg,clartg.f,zlartg.f,
lartgp,lartgp,slartgp.f,dlartgp.f,,,,
lartgs,lartgs,slartgs.f,dlartgs.f,,,,
lartv,lartv,slartv.f,dlartv.f,lartv,clartv.f,zlartv.f,
laruv,laruv,slaruv.f,dlaruv.f,,,,
larz,larz,slarz.f,dlarz.f,larz,clarz.f,zlarz.f,
larzb,larzb,slarzb.f,dlarzb.f,larzb,clarzb.f,zlarzb.f,
larzt,larzt,slarzt.f,dlarzt.f,larzt,clarzt.f,zlarzt.f,
las2,las2,slas2.f,dlas2.f,,,,
lascl,lascl,slascl.f,dlascl.f,lascl,clascl.f,zlascl.f,
lasd0,lasd0,slasd0.f,dlasd0.f,,,,
lasd1,lasd1,slasd1.f,dlasd1.f,,,,
lasd2,lasd2,slasd2.f,dlasd2.f,,,,
lasd3,lasd3,slasd3.f,dlasd3.f,,,,
lasd4,lasd4,slasd4.f,dlasd4.f,,,,
lasd5,lasd5,slasd5.f,dlasd5.f,,,,
lasd6,lasd6,slasd6.f,dlasd6.f,,,,
lasd7,lasd7,slasd7.f,dlasd7.f,,,,
lasd8,lasd8,slasd8.f,dlasd8.f,,,,
lasda,lasda,slasda.f,dlasda.f,,,,
lasdq,lasdq,slasdq.f,dlasdq.f,,,,
lasdt,lasdt,slasdt.f,,,,,
lasdt,lasdt,,dlasdt.f,,,,
laset,laset,slaset.f,dlaset.f,laset,claset.f,zlaset.f,
lasq1,lasq1,slasq1.f,dlasq1.f,,,,
lasq2,lasq2,slasq2.f,dlasq2.f,,,,
lasq4,lasq4,slasq4.f,dlasq4.f,,,,
lasq5,lasq5,slasq5.f,dlasq5.f,,,,
lasq6,lasq6,slasq6.f,dlasq6.f,,,,
lasr,lasr,slasr.f,dlasr.f,lasr,clasr.f,zlasr.f,
lasrt,lasrt,slasrt.f,dlasrt.f,,,,
lassq,lassq,slassq.f,dlassq.f,lassq,classq.f,zlassq.f,
lasv2,lasv2,slasv2.f,dlasv2.f,,,,
laswp,laswp,slaswp.f,dlaswp.f,laswp,claswp.f,zlaswp.f,
lasy2,lasy2,slasy2.f,dlasy2.f,,,,
lasyf,lasyf,slasyf.f,dlasyf.f,lasyf,clasyf.f,zlasyf.f,
lat2c,,,,lat2c,,zlat2c.f,
lat2s,lat2s,,dlat2s.f,,,,
latbs,latbs,slatbs.f,dlatbs.f,latbs,clatbs.f,zlatbs.f,
latdf,latdf,slatdf.f,dlatdf.f,latdf,clatdf.f,zlatdf.f,
latps,latps,slatps.f,dlatps.f,latps,clatps.f,zlatps.f,
latrd,latrd,slatrd.f,dlatrd.f,latrd,clatrd.f,zlatrd.f,
latrs,latrs,slatrs.f,dlatrs.f,latrs,clatrs.f,zlatrs.f,
latrz,latrz,slatrz.f,dlatrz.f,latrz,clatrz.f,zlatrz.f,
lauu2,lauu2,slauu2.f,dlauu2.f,lauu2,clauu2.f,zlauu2.f,
lauum,lauum,slauum.f,dlauum.f,lauum,clauum.f,zlauum.f,
orbdb,orbdb,sorbdb.f,dorbdb.f,,,,
orcsd,orcsd,sorcsd.f,dorcsd.f,,,,
pbcon,pbcon,spbcon.f,dpbcon.f,pbcon,cpbcon.f,zpbcon.f,
pbequ,pbequ,spbequ.f,dpbequ.f,pbequ,cpbequ.f,zpbequ.f,
pbrfs,pbrfs,spbrfs.f,dpbrfs.f,pbrfs,cpbrfs.f,zpbrfs.f,
pbstf,pbstf,spbstf.f,dpbstf.f,pbstf,cpbstf.f,zpbstf.f,
pbsv,pbsv,spbsv.f,dpbsv.f,pbsv,cpbsv.f,zpbsv.f,
pbsvx,pbsvx,spbsvx.f,dpbsvx.f,pbsvx,cpbsvx.f,zpbsvx.f,
pbtf2,pbtf2,spbtf2.f,dpbtf2.f,pbtf2,cpbtf2.f,zpbtf2.f,
pbtrf,pbtrf,spbtrf.f,dpbtrf.f,pbtrf,cpbtrf.f,zpbtrf.f,
pbtrs,pbtrs,spbtrs.f,dpbtrs.f,pbtrs,cpbtrs.f,zpbtrs.f,
pftrf,pftrf,spftrf.f,dpftrf.f,pftrf,cpftrf.f,zpftrf.f,
pftri,pftri,spftri.f,dpftri.f,pftri,cpftri.f,zpftri.f,
pftrs,pftrs,spftrs.f,dpftrs.f,pftrs,cpftrs.f,zpftrs.f,
pocon,pocon,spocon.f,dpocon.f,pocon,cpocon.f,zpocon.f,
poequ,poequ,spoequ.f,dpoequ.f,poequ,cpoequ.f,zpoequ.f,
poequb,poequb,spoequb.f,dpoequb.f,poequb,cpoequb.f,zpoequb.f,
porfs,porfs,sporfs.f,dporfs.f,porfs,cporfs.f,zporfs.f,
posv,posv,sposv.f,dposv.f,posv,cposv.f,zposv.f,
posvx,posvx,sposvx.f,dposvx.f,posvx,cposvx.f,zposvx.f,
potf2,potf2,spotf2.f,dpotf2.f,potf2,cpotf2.f,zpotf2.f,
potrf,potrf,spotrf.f,dpotrf.f,potrf,cpotrf.f,zpotrf.f,
potri,potri,spotri.f,dpotri.f,potri,cpotri.f,zpotri.f,
potrs,potrs,spotrs.f,dpotrs.f,potrs,cpotrs.f,zpotrs.f,
ppcon,ppcon,sppcon.f,dppcon.f,ppcon,cppcon.f,zppcon.f,
ppequ,ppequ,sppequ.f,dppequ.f,ppequ,cppequ.f,zppequ.f,
pprfs,pprfs,spprfs.f,dpprfs.f,pprfs,cpprfs.f,zpprfs.f,
